Typ,count,percent
aria > arioso > aria > acc > coro,1,0.07
acc > aria > acc > coro > aria > rec > choral,1,0.07
coro > aria > rec > choral > aria > acc > choral,1,0.07
rec > aria > rec > aria > rec > choral,1,0.07
acc > rec > aria > rec > choral > rec > aria > rec > acc,1,0.07
aria > rec > aria > rec > coro > rec > coro,1,0.07
coro > rec > aria > rec > coro > coro > choral,1,0.07
choral > rec > aria > rec > aria > rec > rec > choral,1,0.07
acc > rec > aria > rec > arioso > rec > aria > choral,1,0.07
acc > choral > aria > rec > aria > coro > aria > choral,1,0.07
acc > aria > rec > choral > rec > aria,1,0.07
acc > rec > aria > choral > aria > rec > aria > rec > choral,1,0.07
coro > rec > choral > rec > aria > rec > coro,1,0.07
dictum > rec > aria > choral > rec > aria > acc > choral,1,0.07
choral > aria > aria > aria > aria > choral,1,0.07
coro > acc > aria > rec > aria > coro,1,0.07
acc > aria > acc > aria > rec > aria > acc > choral,1,0.07
coro > aria > acc > aria > rec > aria > acc > choral,1,0.07
coro > rec > aria > rec > aria > rec > dictum > choral,1,0.07
coro > rec > aria > dictum > rec > choral,1,0.07
coro > acc > aria > rec > choral,1,0.07
aria > rec > aria > rec > aria > choral,1,0.07
aria > coro > aria > choral,1,0.07
acc > aria > rec > aria > rec > aria > rec > choral > rec > aria,1,0.07
coro > rec > aria > rec > aria > aria > rec > choral,1,0.07
choral > rec > aria > choral > rec > aria > coro,1,0.07
sonata > aria > choral > rec > choral > aria > rec > choral > aria > choral,1,0.07
aria > acc > aria > rec > aria > rec > aria > acc > aria,1,0.07
choral > rec > coro > rec > aria > rec > choral,1,0.07
coro > acc > aria > acc > coro,1,0.07
coro > rec > coro > coro > choral > rec > coro > acc > coro,1,0.07
coro > rec > aria > acc > aria > acc > choral,1,0.07
choral > rec > coro > rec > aria > choral,1,0.07
sonata > coro > aria > coro > rec > coro > aria > aria > coro,1,0.07
aria > acc > aria > rec > aria > rec > aria > choral,1,0.07
rec > aria > rec > aria > rec > aria,1,0.07
aria > aria > arioso > aria > aria,1,0.07
aria > rec > aria > rec > aria > acc > rec > aria,1,0.07
coro > aria > rec > coro > aria > rec > aria > rec > choral,1,0.07
arioso > coro > rec > aria > rec > arioso > aria > choral,1,0.07
aria > acc > aria > rec > aria > choral > rec > arioso > acc > aria > arioso > aria > rec > arioso > rec > aria,1,0.07
sonata > rec > choral > acc > aria > rec > aria > rec > aria,1,0.07
coro > aria > rec > aria,1,0.07
dictum > aria > rec > choral > rec > aria,1,0.07
coro > rec > arioso > aria > choral > rec > aria > rec > coro,1,0.07
dictum > rec > aria > rec > choral > aria > acc > choral,1,0.07
coro > aria > aria > coro > acc > choral,1,0.07
dictum > acc > aria > rec > choral > rec > choral,1,0.07
coro > rec > aria > rec > coro,1,0.07
choral > aria > acc > choral > acc > aria > choral,1,0.07
choral > aria > rec > aria > acc > choral,1,0.07
choral > acc > coro > rec > coro > rec > choral,1,0.07
coro > aria > coro > aria > acc > aria,1,0.07
coro > rec > coro > acc > rec > aria > rec > choral,1,0.07
dictum > aria > rec > aria > aria,1,0.07
coro,1,0.07
aria > rec > acc > rec > aria > rec > choral,1,0.07
acc > arioso > rec > aria > rec > aria,1,0.07
aria > acc > aria > aria,1,0.07
coro > acc > aria > acc > choral > aria > rec > choral,1,0.07
acc > aria > aria > choral > aria > rec > aria > rec > choral,1,0.07
aria > aria > acc > aria > choral,1,0.07
aria > choral > aria > coro,1,0.07
dictum > choral > aria > acc > aria > acc > choral,1,0.07
