Werk;Satznr;Typ;Besetzung;Tonart;Takt;Jahr;Zeit;Saison;Jahrzehnt;A;AATB;AATT;AATTBB;AB;AT;ATB;ATTB;B;BB;BBB;BS;S;S S STB;SA;SA TB;SAATTBB;SAB;SAT;SAT B;SATB;SATBB;SATT;SATTB;SB;SS;SSAB;SSAT;SSATB;SSATBB;SSATTB;SSB;SSSAB;SSSATB;SSSTB;SSTB;ST;STB;T;TB;TT;basso continuo;bassoon;chalumeau;clarinet;clarino;flute;flute d'amore;horn;oboe;oboe d'amore;organ;recorder;strings;timpani;trombone;trumpet;viola;viola d'amore;violetta;violins;violoncello;violone;2er;3er;4er;6er;9er;12er;Sonstiges
1101/29;5;rec;(S,bc);;;1729;1. Advent;Advent;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/29;6;aria;(S,vl unis,vla,bc);e;12/8 (vivace);1729;1. Advent;Advent;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;x;
1101/29;7;rec;(B,bc);;;1729;1. Advent;Advent;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/29;8;coro;(SATB,str,bc);G;C (grave+allegro);1729;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1101/30;1;coro;(SATB,str,bc);B;3;1730;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/30;2;rec;(B,bc);;;1730;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/30;3;aria;(B,ob am,str,bc);G;3 (sostentato);1730;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;x;;;;;;;;;;;x;;;;;
1101/30;4;rec;(T,bc);;;1730;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/30;5;aria;(T,str,bc);D;C (presto);1730;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1101/30;6;acc;+rec+arioso (A,str,bc);;;1730;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;
1101/30;7;choral;(SATB,str,bc);B;12/8;1730;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1101/31;1;coro;(SATB,clar(2),timp(2),str,bc);C;C (allegro);1731;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;x;x;;;;;;;;;;;x;;;;
1101/31;2;acc;(B,clar(2),timp(2),str,bc);;;1731;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;x;x;;;;;;;;;;;;;;;
1101/31;3;aria;(B,vl unis,vla,bc);a;3;1731;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;x;;;;;
1101/31;4;rec;(S,bc);;;1731;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/31;5;aria;(S,vl unis,vla,bc);g;12/8;1731;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;x;
1101/31;6;rec;(T,bc);;;1731;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/31;7;choral;(SATB,clar(2),timp(2),str,bc);C;12/8;1731;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;x;x;;;;;;;;;;;;;;x;
1101/33;1;coro;(SATB,hn,tra,str,bc);a;C;1733;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;x;;;;;;;;;x;;;;
1101/33;2;rec;(B,bc);;;1733;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/33;3;aria;(TB,str,bc);F;3 (allegro);1733;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/33;4;choral;(SATB,hn,tra,str,bc);a;C;1733;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;x;;;;;;;;;x;;;;
